AASP100,0101,"Introduction to African American Studies",Lecture,"Shane Walsh","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",WDS 1114,10:00:00,10:50:00,--,--,10:00:00,10:50:00,--,--,10:00:00,10:50:00
AASP100,0201,"Introduction to African American Studies",Lecture,"Shane Walsh","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",TYD 2109,12:00:00,12:50:00,--,--,12:00:00,12:50:00,--,--,12:00:00,12:50:00
AASP100,0301,"Introduction to African American Studies",Lecture,"Jonathan England","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",ARM 0110,--,--,09:30:00,10:45:00,--,--,09:30:00,10:45:00,--,--
AASP100,0401,"Introduction to African American Studies",Lecture,"Jonathan England","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",TYD 1101,--,--,12:30:00,13:45:00,--,--,12:30:00,13:45:00,--,--
AASP100,0501,"Introduction to African American Studies",Lecture,"Jason Nichols","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",SYM 0215,--,--,11:00:00,12:15:00,--,--,11:00:00,12:15:00,--,--
AASP100,0601,"Introduction to African American Studies",Lecture,"Jason Nichols","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",TYD 2106,--,--,14:00:00,15:15:00,--,--,14:00:00,15:15:00,--,--
AASP100H,0101,"Introduction to African American Studies",Lecture,"Jonathan England","Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",TYD 1101,--,--,12:30:00,13:45:00,--,--,12:30:00,13:45:00,--,--
AASP101,0101,"Public Policy and the Black Community",Lecture,"Gniesha Dinwiddie","The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.",WDS 0104,--,--,14:00:00,15:15:00,--,--,14:00:00,15:15:00,--,--
AASP200,0101,"African Civilization",Lecture,"Ibrahim Kargbo","A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.",TYD 2111,--,--,--,--,--,--,16:00:00,18:30:00,--,--
AASP202,0101,"Black Culture in the United States",Lecture,"Dennis Doster","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",SYM 0215,14:00:00,15:15:00,--,--,14:00:00,15:15:00,--,--,--,--
AASP202,0102,"Black Culture in the United States",Lecture,"Dennis Doster","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",TYD 0111,11:00:00,12:15:00,--,--,11:00:00,12:15:00,--,--,--,--
AASP202,0103,"Black Culture in the United States",Lecture,"Robert Choflet","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",TYD 1118,--,--,11:00:00,12:15:00,--,--,11:00:00,12:15:00,--,--
AASP202,0104,"Black Culture in the United States",Lecture,"Robert Choflet","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",LEF 1201,--,--,14:00:00,15:15:00,--,--,14:00:00,15:15:00,--,--
AASP202H,0101,"Black Culture in the United States",Lecture,"Robert Choflet","The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",TYD 1118,--,--,11:00:00,12:15:00,--,--,11:00:00,12:15:00,--,--
